"Story","Title","Result","Date","Stability","Duration (s)"
"Understand the usage of background keyword","To check if the user profile icon is displayed","SUCCESS","2021-02-23T23:14:16.651+05:30[Asia/Calcutta]","0.0","0.46"
"Understand the usage of background keyword","To check if the menu option is displayed","SUCCESS","2021-02-23T23:14:17.126+05:30[Asia/Calcutta]","0.0","0.07"
