"Story","Title","Result","Date","Stability","Duration (s)"
"Understand the usage of background keyword","To check if the user profile icon is displayed","SUCCESS","2021-02-23T23:14:16.651+05:30[Asia/Calcutta]","0.0","0.46"
"Understand the usage of background keyword","To check if the menu option is displayed","SUCCESS","2021-02-23T23:14:17.126+05:30[Asia/Calcutta]","0.0","0.07"
"Receiving an item feature","Receiving an item by providing the item barcode","SUCCESS","2021-02-23T23:14:17.285+05:30[Asia/Calcutta]","0.0","0.25"
"To illustrate the usage of list in feature file","This is a sample scenario to illustrate the usage of list","SUCCESS","2021-02-23T23:14:17.551+05:30[Asia/Calcutta]","0.0","0.05"
"Find new car feature","Finding new cars by brand name Renault","SUCCESS","2021-02-23T23:14:17.728+05:30[Asia/Calcutta]","0.0","0.03"
"Find new car feature","To find a new car by brand","SUCCESS","2021-02-23T23:14:17.762+05:30[Asia/Calcutta]","0.0","0.03"
"Find new car feature","To find a new car by budget","SUCCESS","2021-02-23T23:14:17.795+05:30[Asia/Calcutta]","0.0","0.02"
"We can use the list as an argument in the step definations","To check the list argument","SUCCESS","2021-02-23T23:14:17.826+05:30[Asia/Calcutta]","0.0","0.02"
"Find new car feature","Finding new cars by brand name - parameterized","SUCCESS","2021-02-23T23:14:17.859+05:30[Asia/Calcutta]","0.0","0.19"
